State,1960,1970,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1990,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2000,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama ,3267,3444,3894,3919,3925,3934,3952,3973,3992,4015,4024,4030,4040,4040,4050,4099,4154,4214,4260,4297,4331,4368,4405,4430,4447,4447,4452,4464,4472,4491,4512,4545,4598,4638,4677,4709
Alaska ,226,303,402,418,450,488,514,532,544,539,542,547,550,550,553,570,589,599,603,604,609,613,620,625,627,627,627,633,643,651,662,669,677,682,688,698
Arizona ,1302,1775,2718,2810,2890,2969,3067,3184,3308,3437,3535,3622,3665,3665,3684,3789,3916,4065,4245,4432,4587,4737,4883,5024,5131,5131,5167,5304,5452,5591,5759,5975,6192,6362,6499,6596
Arkansas ,1786,1923,2286,2293,2294,2306,2320,2327,2332,2342,2343,2346,2351,2351,2357,2383,2416,2456,2494,2535,2572,2601,2626,2652,2673,2673,2678,2691,2705,2722,2746,2776,2815,2842,2868,2889
California ,15717,19971,23668,24286,24820,25360,25844,26441,27102,27777,28464,29218,29758,29811,29960,30471,30975,31275,31484,31697,32019,32486,32988,33499,33872,33872,33995,34486,34876,35251,35558,35795,35979,36226,36580,36962
Colorado ,1754,2210,2890,2978,3062,3134,3170,3209,3237,3260,3262,3276,3294,3294,3308,3387,3496,3614,3724,3827,3920,4018,4117,4226,4301,4302,4328,4433,4504,4549,4600,4661,4753,4842,4935,5025
Connecticut ,2535,3032,3108,3129,3139,3162,3180,3201,3224,3247,3272,3283,3287,3287,3292,3303,3301,3309,3316,3324,3337,3349,3365,3386,3406,3406,3412,3428,3448,3468,3475,3477,3485,3489,3503,3518
Delaware ,446,548,594,596,599,605,612,618,628,637,648,658,666,666,670,683,695,706,718,730,741,751,763,775,784,784,786,795,804,815,827,840,853,865,876,885
Florida ,4952,6791,9746,10193,10471,10750,11040,11351,11668,11997,12306,12638,12938,12938,13033,13370,13651,13927,14239,14538,14853,15186,15487,15759,15982,15983,16047,16354,16680,16981,17375,17784,18089,18278,18424,18538
Georgia ,3943,4588,5463,5568,5650,5728,5835,5963,6085,6208,6316,6411,6478,6478,6513,6653,6817,6978,7157,7328,7501,7685,7864,8046,8186,8187,8230,8420,8586,8735,8914,9097,9330,9534,9698,9829
Hawaii ,633,770,965,978,994,1013,1028,1040,1052,1068,1080,1095,1108,1108,1113,1137,1159,1173,1188,1197,1204,1212,1215,1210,1212,1212,1212,1218,1228,1239,1253,1266,1276,1277,1287,1295
Idaho ,667,713,944,962,974,982,991,994,990,985,986,994,1007,1007,1012,1041,1072,1109,1145,1177,1203,1229,1252,1276,1294,1294,1300,1321,1342,1364,1392,1426,1464,1499,1528,1546
Illinois ,10081,11110,11427,11443,11423,11409,11412,11400,11387,11391,11390,11410,11431,11431,11453,11569,11694,11810,11913,12008,12102,12186,12272,12359,12419,12420,12438,12508,12558,12598,12645,12674,12718,12779,12843,12910
Indiana ,4662,5195,5490,5480,5468,5450,5458,5459,5454,5473,5492,5524,5544,5544,5558,5616,5675,5739,5794,5851,5906,5955,5999,6045,6080,6081,6092,6125,6149,6182,6214,6253,6302,6346,6388,6423
Iowa ,2758,2825,2914,2908,2888,2871,2859,2830,2792,2767,2768,2771,2777,2777,2781,2798,2818,2837,2851,2867,2880,2891,2903,2918,2926,2926,2928,2929,2929,2933,2941,2949,2964,2979,2994,3008
Kansas ,2179,2249,2364,2385,2401,2416,2424,2427,2433,2445,2462,2473,2478,2478,2481,2499,2532,2557,2581,2601,2615,2635,2661,2678,2688,2689,2693,2701,2713,2722,2731,2742,2756,2776,2797,2819
